mode,compiler,trial,cores,batch_size,repetition,wall_time_s,peak_rss_mb
bulk,gcc,trial_11,4,50,1,21.4546,962.99
bulk,clang,trial_11,2,75,1,13.6944,92.58
bulk,gcc,trial_11,2,75,1,19.879,183.16
bulk,gcc,trial_11,4,75,1,20.7891,499.61
bulk,gcc,trial_11,8,75,1,17.705,908.99
bulk,clang,trial_11,4,75,1,15.154,246.88
bulk,clang,trial_11,8,75,1,19.9982,428.77
bulk,gcc,trial_11,1,75,1,15.3914,190.87
bulk,clang,trial_11,1,75,1,13.1096,65.29
seq,gcc,trial_11,1,-,1,21.3561,80.63
seq,clang,trial_11,2,-,1,16.7038,74.73
seq,gcc,trial_11,2,-,1,25.3227,125.81
seq,clang,trial_11,4,-,1,18.1761,112.28
seq,gcc,trial_11,4,-,1,23.8654,348.68
seq,clang,trial_11,8,-,1,20.2979,412.76
seq,gcc,trial_11,8,-,1,26.125,380.02
seq,clang,trial_12,1,-,1,18.6523,61.82
bulk,gcc,trial_12,2,25,1,18.4747,265.42
bulk,gcc,trial_12,4,25,1,21.2136,891.44
bulk,clang,trial_12,4,25,1,13.7509,131.16
bulk,clang,trial_12,2,25,1,12.2175,98.06
bulk,gcc,trial_12,1,25,1,15.4252,135.15
bulk,clang,trial_12,1,25,1,12.0737,64.57
bulk,gcc,trial_12,8,25,1,21.3364,598.18
bulk,clang,trial_12,8,25,1,19.2503,264.26
bulk,gcc,trial_12,2,5,1,19.4389,403.97
bulk,clang,trial_12,2,5,1,16.6745,68.79
bulk,clang,trial_12,4,5,1,16.0007,130.8
bulk,clang,trial_12,1,5,1,17.6199,51.98
bulk,clang,trial_12,8,5,1,19.8761,277.33
bulk,gcc,trial_12,4,5,1,20.0544,460.82
bulk,gcc,trial_12,8,5,1,26.5011,1087.12
bulk,gcc,trial_12,1,5,1,19.8664,163.29
bulk,clang,trial_12,1,50,1,12.274,55.7
bulk,clang,trial_12,8,50,1,16.3359,335.84
bulk,gcc,trial_12,8,50,1,21.9626,715.05
bulk,gcc,trial_12,1,50,1,16.8239,241.3
bulk,gcc,trial_12,2,50,1,19.6545,198.24
bulk,clang,trial_12,2,50,1,13.2043,85.72
bulk,clang,trial_12,4,50,1,14.5145,167.23
bulk,gcc,trial_12,4,50,1,20.9556,543.97
bulk,clang,trial_12,2,75,1,14.5248,90.9
bulk,gcc,trial_12,2,75,1,17.9823,150.57
bulk,gcc,trial_12,4,75,1,22.9947,721.58
bulk,gcc,trial_12,8,75,1,19.7618,446.69
bulk,clang,trial_12,4,75,1,14.8887,185.86
bulk,clang,trial_12,8,75,1,18.9943,460.1
bulk,gcc,trial_12,1,75,1,17.2813,230.68
bulk,clang,trial_12,1,75,1,14.3575,61.92
seq,gcc,trial_12,1,-,1,25.1756,129.74
seq,clang,trial_12,2,-,1,17.1766,68.71
seq,gcc,trial_12,2,-,1,28.7206,134.6
seq,clang,trial_12,4,-,1,18.3274,197.39
seq,gcc,trial_12,4,-,1,25.8225,313.17
seq,clang,trial_12,8,-,1,23.1958,342.27
seq,gcc,trial_12,8,-,1,27.0713,461.13
seq,clang,trial_13,1,-,1,20.6796,49.79
bulk,gcc,trial_13,2,25,1,18.8496,362.49
bulk,gcc,trial_13,4,25,1,21.8643,557.83
bulk,clang,trial_13,4,25,1,15.8385,108.56
bulk,clang,trial_13,2,25,1,14.6709,100.4
bulk,gcc,trial_13,1,25,1,15.4105,130.12
bulk,clang,trial_13,1,25,1,12.967,34.88
bulk,gcc,trial_13,8,25,1,22.2102,952.59
bulk,clang,trial_13,8,25,1,16.7157,351.73
bulk,gcc,trial_13,2,5,1,23.5341,275.08
bulk,clang,trial_13,2,5,1,18.3241,73.09
bulk,clang,trial_13,4,5,1,16.4947,120.28
bulk,clang,trial_13,1,5,1,17.3153,69.27
bulk,clang,trial_13,8,5,1,20.9646,421.47
bulk,gcc,trial_13,4,5,1,25.2406,206.38
bulk,gcc,trial_13,8,5,1,23.2642,502.03
bulk,gcc,trial_13,1,5,1,22.3173,197.43
bulk,clang,trial_13,1,50,1,11.8258,57.32
bulk,clang,trial_13,8,50,1,18.0922,320.04
bulk,gcc,trial_13,8,50,1,20.5048,512.4
bulk,gcc,trial_13,1,50,1,16.9783,114.46
bulk,gcc,trial_13,2,50,1,19.4101,250.66
bulk,clang,trial_13,2,50,1,15.1126,122.58
bulk,clang,trial_13,4,50,1,14.7748,130.21
bulk,gcc,trial_13,4,50,1,20.9656,255.7
